county_fips,State Name,County Name,2020 Population,Adherents,religious_adherents
5067,Arkansas,Jackson County,16755,8877,0.529811996
5069,Arkansas,Jefferson County,67260,46761,0.695227475
5071,Arkansas,Johnson County,25749,12671,0.49209678
5073,Arkansas,Lafayette County,6308,3468,0.54977806
5075,Arkansas,Lawrence County,16216,9101,0.561235816
5077,Arkansas,Lee County,8600,6520,0.758139535
5079,Arkansas,Lincoln County,12941,5192,0.401205471
5081,Arkansas,Little River County,12026,8059,0.670131382
5083,Arkansas,Logan County,21131,14893,0.704793905
5085,Arkansas,Lonoke County,74015,31008,0.418942106
5087,Arkansas,Madison County,16521,5332,0.322740754
5089,Arkansas,Marion County,16826,5643,0.335373826
5091,Arkansas,Miller County,42600,26699,0.626737089
5093,Arkansas,Mississippi County,40685,29858,0.733882266
5095,Arkansas,Monroe County,6799,4757,0.699661715
5097,Arkansas,Montgomery County,8484,3764,0.443658652
5099,Arkansas,Nevada County,8310,5245,0.631167268
5101,Arkansas,Newton County,7225,1862,0.257716263
5103,Arkansas,Ouachita County,22650,24487,1.081103753
5105,Arkansas,Perry County,10019,4762,0.475296936
5107,Arkansas,Phillips County,16568,9178,0.55395944
5109,Arkansas,Pike County,10171,5797,0.56995379
5111,Arkansas,Poinsett County,22965,17088,0.744088831
5113,Arkansas,Polk County,19221,10359,0.538941782
5115,Arkansas,Pope County,63381,31984,0.504630725
5117,Arkansas,Prairie County,8282,4015,0.484786284
5119,Arkansas,Pulaski County,399125,248441,0.62246414
5121,Arkansas,Randolph County,18571,10619,0.571805503
5125,Arkansas,Saline County,123416,45289,0.366962144
5127,Arkansas,Scott County,9836,5462,0.555307035
5129,Arkansas,Searcy County,7828,3043,0.388732754
5131,Arkansas,Sebastian County,127799,80115,0.626882839
5133,Arkansas,Sevier County,15839,11208,0.707620431
5135,Arkansas,Sharp County,17271,11320,0.655433964
5123,Arkansas,St. Francis County,23090,13387,0.579774794
5137,Arkansas,Stone County,12359,6355,0.514200178
5139,Arkansas,Union County,39054,32122,0.822502176
5141,Arkansas,Van Buren County,15796,8369,0.529817675
5143,Arkansas,Washington County,245871,145707,0.59261564
5145,Arkansas,White County,76822,51155,0.665889979
5147,Arkansas,Woodruff County,6269,2699,0.430531185
5149,Arkansas,Yell County,20263,8813,0.434930662
6001,California,Alameda County,1682353,690595,0.410493517
6003,California,Alpine County,1204,0,0
6005,California,Amador County,40474,11078,0.273706577
6007,California,Butte County,211632,61268,0.289502533
6009,California,Calaveras County,45292,7831,0.172900291
6011,California,Colusa County,21839,10452,0.478593342
6013,California,Contra Costa County,1165927,484692,0.415713848
6015,California,Del Norte County,27743,3908,0.140864362
6017,California,El Dorado County,191185,57740,0.302011141
6019,California,Fresno County,1008654,432774,0.429060907
6021,California,Glenn County,28917,13530,0.46789086
6023,California,Humboldt County,136463,26215,0.192103354
6025,California,Imperial County,179702,155024,0.862672647
6027,California,Inyo County,19016,5857,0.308003786
6029,California,Kern County,909235,414265,0.455619284
6031,California,Kings County,152486,68957,0.452218564
6033,California,Lake County,68163,20698,0.303654475
6035,California,Lassen County,32730,8438,0.257806294
6037,California,Los Angeles County,10014009,5111616,0.510446515
6039,California,Madera County,156255,69393,0.444100989
6041,California,Marin County,262321,97211,0.37058032
6043,California,Mariposa County,17131,4930,0.287782383
6045,California,Mendocino County,91601,36625,0.39983188
6047,California,Merced County,281202,126904,0.451291243
6049,California,Modoc County,8700,2881,0.331149425
6051,California,Mono County,13195,2158,0.163546798
6053,California,Monterey County,439035,262050,0.596877242
6055,California,Napa County,138019,69147,0.50099624
6057,California,Nevada County,102241,29188,0.285482341
6059,California,Orange County,3186989,1577780,0.49506917
6061,California,Placer County,404739,156398,0.386416925
6063,California,Plumas County,19790,7604,0.384234462
6065,California,Riverside County,2418185,1068673,0.441931862
6067,California,Sacramento County,1585055,622035,0.392437486
6069,California,San Benito County,64209,47314,0.736874893
6071,California,San Bernardino County,2181654,925517,0.424227215
6073,California,San Diego County,3298634,1366334,0.414212065
6075,California,San Francisco County,873965,307067,0.35134931
6077,California,San Joaquin County,779233,296830,0.380925859
6079,California,San Luis Obispo County,282424,109047,0.386110954
6081,California,San Mateo County,764442,257122,0.336352529
6083,California,Santa Barbara County,448229,207844,0.463700475
6085,California,Santa Clara County,1936259,881436,0.455226289
6087,California,Santa Cruz County,270861,106948,0.394844588
6089,California,Shasta County,182155,70163,0.385182949
6091,California,Sierra County,3236,620,0.191594561
6093,California,Siskiyou County,44076,20873,0.473568382
6095,California,Solano County,453491,146470,0.322983257
6097,California,Sonoma County,488863,178047,0.364206332
6099,California,Stanislaus County,552878,214099,0.387244564
6101,California,Sutter County,99633,36588,0.367227726
6103,California,Tehama County,65829,20044,0.304485865
6105,California,Trinity County,16112,2572,0.159632572
6107,California,Tulare County,473117,252857,0.534449195
6109,California,Tuolumne County,55620,13346,0.239949658
6111,California,Ventura County,843843,430814,0.510538098
6113,California,Yolo County,216403,75313,0.348021978
6115,California,Yuba County,81575,28193,0.345608336
8001,Colorado,Adams County,519572,139606,0.268694233
8003,Colorado,Alamosa County,16376,6306,0.385075721
8005,Colorado,Arapahoe County,655070,227037,0.346584334
8007,Colorado,Archuleta County,13359,4877,0.365072236
8009,Colorado,Baca County,3506,890,0.253850542
8011,Colorado,Bent County,5650,760,0.134513274
8013,Colorado,Boulder County,330758,120402,0.364018406
8014,Colorado,Broomfield County,74112,20514,0.27679728
8015,Colorado,Chaffee County,19476,7357,0.377746971
8017,Colorado,Cheyenne County,1748,871,0.498283753
8019,Colorado,Clear Creek County,9397,586,0.062360328
8021,Colorado,Conejos County,7461,5528,0.740919448
8023,Colorado,Costilla County,3499,1264,0.36124607
8025,Colorado,Crowley County,5922,2098,0.354272205
8027,Colorado,Custer County,4704,1811,0.384991497
8029,Colorado,Delta County,31196,9192,0.294653161
8031,Colorado,Denver County,715522,306191,0.427926744
8033,Colorado,Dolores County,2326,427,0.183576956
8035,Colorado,Douglas County,357978,132998,0.371525624
8037,Colorado,Eagle County,55731,17938,0.321867542
8041,Colorado,El Paso County,730395,315765,0.432320867
8039,Colorado,Elbert County,26062,6649,0.2551224
8043,Colorado,Fremont County,48939,13031,0.266270255
8045,Colorado,Garfield County,61685,23349,0.378519899
8047,Colorado,Gilpin County,5808,118,0.020316804
8049,Colorado,Grand County,15717,4194,0.266844818
8051,Colorado,Gunnison County,16918,5514,0.32592505
8053,Colorado,Hinsdale County,788,202,0.256345178
8055,Colorado,Huerfano County,6820,2032,0.297947214
8057,Colorado,Jackson County,1379,264,0.191443075
8059,Colorado,Jefferson County,582910,181477,0.311329365
8061,Colorado,Kiowa County,1446,2207,1.526279391
8063,Colorado,Kit Carson County,7087,4354,0.614364329
8067,Colorado,La Plata County,55638,16206,0.291275747
8065,Colorado,Lake County,7436,2305,0.309978483
8069,Colorado,Larimer County,359066,125050,0.348264664
8071,Colorado,Las Animas County,14555,3845,0.264170388
8073,Colorado,Lincoln County,5675,2771,0.488281938
8075,Colorado,Logan County,21528,8164,0.379227053
8077,Colorado,Mesa County,155703,59034,0.379144911
8079,Colorado,Mineral County,865,363,0.419653179
8081,Colorado,Moffat County,13292,4190,0.315227204
8083,Colorado,Montezuma County,25849,8811,0.34086425
8085,Colorado,Montrose County,42679,13877,0.325148199
8087,Colorado,Morgan County,29111,11042,0.379306791
8089,Colorado,Otero County,18690,6973,0.373087212
8091,Colorado,Ouray County,4874,1306,0.2679524
8093,Colorado,Park County,17390,3686,0.211960897
8095,Colorado,Phillips County,4530,2723,0.601103753
8097,Colorado,Pitkin County,17358,5129,0.295483351
8099,Colorado,Prowers County,11999,5315,0.442953579
8101,Colorado,Pueblo County,168162,58988,0.350780795
8103,Colorado,Rio Blanco County,6529,2089,0.319957114
8105,Colorado,Rio Grande County,11539,5098,0.441806049
8107,Colorado,Routt County,24829,7748,0.312054452
8109,Colorado,Saguache County,6368,4647,0.729742462
8111,Colorado,San Juan County,705,424,0.60141844
8113,Colorado,San Miguel County,8072,1670,0.206888008
8115,Colorado,Sedgwick County,2404,889,0.369800333
8117,Colorado,Summit County,31055,9707,0.312574465
8119,Colorado,Teller County,24710,7695,0.311412384
8121,Colorado,Washington County,4817,1216,0.252439278
8123,Colorado,Weld County,328981,91767,0.278943161
8125,Colorado,Yuma County,9988,5157,0.516319584
9001,Connecticut,Fairfield County,957419,540412,0.564446705
9003,Connecticut,Hartford County,899498,444834,0.494535841
9005,Connecticut,Litchfield County,185186,66695,0.360151415
9007,Connecticut,Middlesex County,164245,73587,0.448031904
9009,Connecticut,New Haven County,864835,402695,0.465632173
9011,Connecticut,New London County,268555,95564,0.355845171
9013,Connecticut,Tolland County,149788,53152,0.354848185
9015,Connecticut,Windham County,116418,30854,0.265027745
10001,Delaware,Kent County,181851,57218,0.314642207
10003,Delaware,New Castle County,570719,269464,0.47214829
10005,Delaware,Sussex County,237378,82730,0.348515869
11001,District of Columbia,District of Columbia,689545,389241,0.564489627
12001,Florida,Alachua County,278468,129427,0.464782309
12003,Florida,Baker County,28259,9390,0.33228352
12005,Florida,Bay County,175216,64581,0.368579353
12007,Florida,Bradford County,28303,11507,0.406564675
12009,Florida,Brevard County,606612,255575,0.421315437
12011,Florida,Broward County,1944375,863095,0.443893282
12013,Florida,Calhoun County,13648,3470,0.254249707
12015,Florida,Charlotte County,186847,89601,0.479542085
12017,Florida,Citrus County,153843,57248,0.372119628
12019,Florida,Clay County,218245,87094,0.399065271
12021,Florida,Collier County,375752,231590,0.616337371
12023,Florida,Columbia County,69698,39671,0.569184195
12027,Florida,DeSoto County,33976,11478,0.337826701
12029,Florida,Dixie County,16759,3465,0.20675458
12031,Florida,Duval County,995567,660096,0.663035235
12033,Florida,Escambia County,321905,171940,0.534132741
12035,Florida,Flagler County,115378,51641,0.447580995
12037,Florida,Franklin County,12451,5727,0.459963055
12039,Florida,Gadsden County,43826,25500,0.581846393
12041,Florida,Gilchrist County,17864,4751,0.265953874
12043,Florida,Glades County,12126,7184,0.592445984
12045,Florida,Gulf County,14192,10726,0.755777903
12047,Florida,Hamilton County,14004,4521,0.322836332
12049,Florida,Hardee County,25327,16242,0.641291902
12051,Florida,Hendry County,39619,16277,0.410838234
12053,Florida,Hernando County,194515,71366,0.366892013
12055,Florida,Highlands County,101235,52205,0.515681336
12057,Florida,Hillsborough County,1459762,877459,0.601097302
12059,Florida,Holmes County,19653,7776,0.395664784
12061,Florida,Indian River County,159788,84114,0.526409993
12063,Florida,Jackson County,47319,24945,0.527166677
12065,Florida,Jefferson County,14510,10177,0.70137836
12067,Florida,Lafayette County,8226,3821,0.464502796
12069,Florida,Lake County,383956,156403,0.407346154
12071,Florida,Lee County,760822,316947,0.416584957
12073,Florida,Leon County,292198,142813,0.488754201
12075,Florida,Levy County,42915,18576,0.432855645
12077,Florida,Liberty County,7974,3900,0.489089541
12079,Florida,Madison County,17968,9219,0.513078807
12081,Florida,Manatee County,399710,126886,0.317445148
12083,Florida,Marion County,375908,144220,0.383657703
12085,Florida,Martin County,158431,84742,0.534882693
12086,Florida,Miami-Dade County,2701767,1387650,0.513608316
12087,Florida,Monroe County,82874,43243,0.521792118
12089,Florida,Nassau County,90352,36938,0.408823269
12091,Florida,Okaloosa County,211668,111603,0.527254946
12093,Florida,Okeechobee County,39644,15002,0.378417919
12095,Florida,Orange County,1429908,702596,0.491357486
12097,Florida,Osceola County,388656,184408,0.474476143
12099,Florida,Palm Beach County,1492191,588508,0.394391871
12101,Florida,Pasco County,561891,165487,0.294517976
12103,Florida,Pinellas County,959107,473403,0.493587264
12105,Florida,Polk County,725046,301631,0.416016363
12107,Florida,Putnam County,73321,32333,0.44097871
12113,Florida,Santa Rosa County,188000,86475,0.459973404
12115,Florida,Sarasota County,434006,236412,0.54472058
12117,Florida,Seminole County,470856,250991,0.533052568
12109,Florida,St. Johns County,273425,99582,0.364202249
12111,Florida,St. Lucie County,329226,118808,0.360870648
12119,Florida,Sumter County,129752,39301,0.302893212
12121,Florida,Suwannee County,43474,21928,0.504393431
12123,Florida,Taylor County,21796,9622,0.441457148
12125,Florida,Union County,16147,3954,0.244875209
12127,Florida,Volusia County,553543,219427,0.396404615
12129,Florida,Wakulla County,33764,6825,0.202138372
12131,Florida,Walton County,75305,27417,0.36407941
12133,Florida,Washington County,25318,8991,0.355122838
13001,Georgia,Appling County,18444,13036,0.706788115
13003,Georgia,Atkinson County,8286,2715,0.327661115
13005,Georgia,Bacon County,11140,5141,0.461490126
13007,Georgia,Baker County,2876,897,0.311891516
13009,Georgia,Baldwin County,43799,15310,0.34955136
13011,Georgia,Banks County,18035,14102,0.781924037
13013,Georgia,Barrow County,83505,31232,0.374013532
13015,Georgia,Bartow County,108901,52090,0.47832435
13017,Georgia,Ben Hill County,17194,10799,0.628067931
13019,Georgia,Berrien County,18160,8645,0.476046256
13021,Georgia,Bibb County,157346,91563,0.581921371
13023,Georgia,Bleckley County,12583,5205,0.413653342
13025,Georgia,Brantley County,18021,6069,0.336773764
13027,Georgia,Brooks County,16301,6761,0.414759831
13029,Georgia,Bryan County,44738,13956,0.311949573
13031,Georgia,Bulloch County,81099,27909,0.344134946
13033,Georgia,Burke County,24596,9959,0.404903236
13035,Georgia,Butts County,25434,11191,0.440001573
13037,Georgia,Calhoun County,5573,2376,0.426341288
13039,Georgia,Camden County,54768,18815,0.343540023
13043,Georgia,Candler County,10981,5128,0.466988435
13045,Georgia,Carroll County,119148,61848,0.519085507
13047,Georgia,Catoosa County,67872,24513,0.361165134
13049,Georgia,Charlton County,12518,4340,0.346700751
13051,Georgia,Chatham County,295291,122966,0.416423122
13053,Georgia,Chattahoochee County,9565,1862,0.194668061
13055,Georgia,Chattooga County,24965,12724,0.509673543
13057,Georgia,Cherokee County,266620,119204,0.447093241
13059,Georgia,Clarke County,128671,53837,0.418408188
13061,Georgia,Clay County,2848,705,0.247542135
13063,Georgia,Clayton County,297595,136102,0.457339673
13065,Georgia,Clinch County,6749,3125,0.46303156
13067,Georgia,Cobb County,766149,423046,0.552171967
13069,Georgia,Coffee County,43092,19461,0.451615149
13071,Georgia,Colquitt County,45898,24336,0.530219182
13073,Georgia,Columbia County,156010,61829,0.396314339
13075,Georgia,Cook County,17229,6968,0.404434384
13077,Georgia,Coweta County,146158,61907,0.423562172
13079,Georgia,Crawford County,12130,2128,0.175432811
13081,Georgia,Crisp County,20128,11376,0.56518283
13083,Georgia,Dade County,16251,6531,0.401882961
13085,Georgia,Dawson County,26798,12723,0.474774237
13087,Georgia,Decatur County,29367,15957,0.543365002
13089,Georgia,DeKalb County,764382,389284,0.509279392
13091,Georgia,Dodge County,19925,13101,0.657515684
13093,Georgia,Dooly County,11208,5767,0.514543183
13095,Georgia,Dougherty County,85790,47371,0.552173913
13097,Georgia,Douglas County,144237,77553,0.537677572
13099,Georgia,Early County,10854,5561,0.512345679
13101,Georgia,Echols County,3697,587,0.158777387
13103,Georgia,Effingham County,64769,22060,0.340595038
13105,Georgia,Elbert County,19637,12358,0.629322198
13107,Georgia,Emanuel County,22768,7155,0.314256852
13109,Georgia,Evans County,10774,5145,0.477538519
13111,Georgia,Fannin County,25319,19899,0.785931514
13113,Georgia,Fayette County,119194,87984,0.738157961
13115,Georgia,Floyd County,98584,61585,0.624695691
13117,Georgia,Forsyth County,251283,105614,0.420299025
13119,Georgia,Franklin County,23424,14111,0.602416325
13121,Georgia,Fulton County,1066710,716915,0.672080509
13123,Georgia,Gilmer County,31353,11915,0.38002743
13125,Georgia,Glascock County,2884,1062,0.368238558
13127,Georgia,Glynn County,84499,40630,0.480834093
13129,Georgia,Gordon County,57544,32694,0.568156541
13131,Georgia,Grady County,26236,14464,0.551303552
13133,Georgia,Greene County,18915,11751,0.621252974
13135,Georgia,Gwinnett County,957062,474200,0.495474692
13137,Georgia,Habersham County,46031,24008,0.521561556
13139,Georgia,Hall County,203136,162699,0.800936319
13141,Georgia,Hancock County,8735,2728,0.312306812
13143,Georgia,Haralson County,29919,16157,0.540024733
13145,Georgia,Harris County,34668,11947,0.344611746
13147,Georgia,Hart County,25828,18842,0.729518352
13149,Georgia,Heard County,11412,5281,0.4627585
13151,Georgia,Henry County,240712,89403,0.371410648
13153,Georgia,Houston County,163633,72128,0.440791283
13155,Georgia,Irwin County,9666,4085,0.422615353
13157,Georgia,Jackson County,75907,28232,0.371928808
13159,Georgia,Jasper County,14588,6164,0.422539073
13161,Georgia,Jeff Davis County,14779,10385,0.702686244
13163,Georgia,Jefferson County,15709,8795,0.559870138
13165,Georgia,Jenkins County,8674,5444,0.627622781
13167,Georgia,Johnson County,9189,3464,0.376972467
13169,Georgia,Jones County,28347,11524,0.406533319
13171,Georgia,Lamar County,18500,6882,0.372
13173,Georgia,Lanier County,9877,3110,0.314872937
13175,Georgia,Laurens County,49570,29482,0.594754892
13177,Georgia,Lee County,33163,10635,0.320688719
13179,Georgia,Liberty County,65256,23236,0.356074537
13181,Georgia,Lincoln County,7690,3963,0.515344603
13183,Georgia,Long County,16168,4475,0.276781296
13185,Georgia,Lowndes County,118251,59643,0.504376284
13187,Georgia,Lumpkin County,33488,8690,0.259495939
13193,Georgia,Macon County,12082,6663,0.551481543
13195,Georgia,Madison County,30120,10439,0.346580345
13197,Georgia,Marion County,7498,2483,0.331154975
13189,Georgia,McDuffie County,21632,15547,0.718703772
13191,Georgia,McIntosh County,10975,4394,0.400364465
13199,Georgia,Meriwether County,20613,8854,0.42953476
13201,Georgia,Miller County,6000,3761,0.626833333
13205,Georgia,Mitchell County,21755,11188,0.514272581
13207,Georgia,Monroe County,27957,7528,0.269270666
13209,Georgia,Montgomery County,8610,3242,0.376538908
13211,Georgia,Morgan County,20097,12453,0.619644723
13213,Georgia,Murray County,39973,14436,0.361143772
13215,Georgia,Muscogee County,206922,120404,0.581881095
13217,Georgia,Newton County,112483,39061,0.347261364
13219,Georgia,Oconee County,41799,13147,0.314529056
13221,Georgia,Oglethorpe County,14825,4360,0.294097808
13223,Georgia,Paulding County,168661,36473,0.216250348
13225,Georgia,Peach County,27981,12750,0.455666345
13227,Georgia,Pickens County,33216,10916,0.328636802
13229,Georgia,Pierce County,19716,12282,0.622945831
13231,Georgia,Pike County,18889,9327,0.493779448
13233,Georgia,Polk County,42853,27227,0.635358085
13235,Georgia,Pulaski County,9855,4991,0.50644343
13237,Georgia,Putnam County,22047,7330,0.332471538
13239,Georgia,Quitman County,2235,853,0.381655481
13241,Georgia,Rabun County,16883,11211,0.664040751
13243,Georgia,Randolph County,6425,3291,0.512217899
13245,Georgia,Richmond County,206607,109146,0.528278326
13247,Georgia,Rockdale County,93570,46482,0.496761783
13249,Georgia,Schley County,4547,4120,0.906091929
13251,Georgia,Screven County,14067,7277,0.517310016
13253,Georgia,Seminole County,9147,4897,0.535366787
13255,Georgia,Spalding County,67306,41089,0.610480492
13257,Georgia,Stephens County,26784,15496,0.578554361
13259,Georgia,Stewart County,5314,1890,0.355664283
13261,Georgia,Sumter County,29616,15382,0.519381415
13263,Georgia,Talbot County,5733,2016,0.351648352
13265,Georgia,Taliaferro County,1559,463,0.296985247
13267,Georgia,Tattnall County,22842,9815,0.42969092
13269,Georgia,Taylor County,7816,3374,0.431678608
13271,Georgia,Telfair County,12477,4728,0.378937245
13273,Georgia,Terrell County,9185,4424,0.481654872
13275,Georgia,Thomas County,45798,28645,0.625463994
13277,Georgia,Tift County,41344,23117,0.559137964
13279,Georgia,Toombs County,27030,16850,0.623381428
13281,Georgia,Towns County,12493,6166,0.493556392
13283,Georgia,Treutlen County,6406,2484,0.387761474
13285,Georgia,Troup County,69426,41712,0.600812376
13287,Georgia,Turner County,9006,5701,0.633022429
13289,Georgia,Twiggs County,8022,3431,0.427698828
13291,Georgia,Union County,24632,15065,0.611602793
13293,Georgia,Upson County,27700,16440,0.593501805
13295,Georgia,Walker County,67654,36703,0.542510421
13297,Georgia,Walton County,96673,39493,0.408521511
13299,Georgia,Ware County,36251,22109,0.609886624
13301,Georgia,Warren County,5215,3939,0.755321189
13303,Georgia,Washington County,19988,9724,0.486491895
13305,Georgia,Wayne County,30144,19831,0.657875531
13307,Georgia,Webster County,2348,1024,0.436115843
13309,Georgia,Wheeler County,7471,2162,0.289385624
13311,Georgia,White County,28003,12210,0.436024712
13313,Georgia,Whitfield County,102864,71961,0.699574195
13315,Georgia,Wilcox County,8766,4238,0.483458818
13317,Georgia,Wilkes County,9565,6299,0.658546785
13319,Georgia,Wilkinson County,8877,4757,0.535879238
13321,Georgia,Worth County,20784,9892,0.475943033
15001,Hawaii,Hawaii County,200629,83945,0.418409103
15003,Hawaii,Honolulu County,1016508,391319,0.384964014
15005,Hawaii,Kalawao County,82,36,0.43902439
15007,Hawaii,Kauai County,73298,34450,0.469999181
15009,Hawaii,Maui County,164754,76713,0.465621472
16001,Idaho,Ada County,494967,235225,0.475233702
16003,Idaho,Adams County,4379,1397,0.319022608
16005,Idaho,Bannock County,87018,44607,0.512618079
16007,Idaho,Bear Lake County,6372,5737,0.900345261
16009,Idaho,Benewah County,9530,3528,0.37019937
16011,Idaho,Bingham County,47992,25977,0.541277713
16013,Idaho,Blaine County,24272,8766,0.361156889
16015,Idaho,Boise County,7610,2475,0.325229961
16017,Idaho,Bonner County,47110,12027,0.255296115
16019,Idaho,Bonneville County,123964,81020,0.653576845
16021,Idaho,Boundary County,12056,4377,0.36305574
16023,Idaho,Butte County,2574,2267,0.880730381
16025,Idaho,Camas County,1077,743,0.689879294
16027,Idaho,Canyon County,231105,99546,0.430739274
16029,Idaho,Caribou County,7027,5234,0.744841326
16031,Idaho,Cassia County,24655,14250,0.57797607
16033,Idaho,Clark County,790,229,0.289873418
16035,Idaho,Clearwater County,8734,2834,0.324479047
16037,Idaho,Custer County,4275,3001,0.701988304
16039,Idaho,Elmore County,28666,10585,0.369252773
16041,Idaho,Franklin County,14194,16854,1.187403128
16043,Idaho,Fremont County,13388,10341,0.772408127
16045,Idaho,Gem County,19123,6790,0.355069811
16047,Idaho,Gooding County,15598,4087,0.262020772
16049,Idaho,Idaho County,16541,10074,0.609032102
16051,Idaho,Jefferson County,30891,27270,0.882781393
16053,Idaho,Jerome County,24237,7626,0.314642901
16055,Idaho,Kootenai County,171362,109091,0.636611384
16057,Idaho,Latah County,39517,11813,0.298934636
16059,Idaho,Lemhi County,7974,4452,0.558314522
16061,Idaho,Lewis County,3533,1862,0.527030852
16063,Idaho,Lincoln County,5127,1714,0.334308563
16065,Idaho,Madison County,52913,28343,0.535652864
16067,Idaho,Minidoka County,21613,10546,0.487947069
16069,Idaho,Nez Perce County,42090,18954,0.450320741
16071,Idaho,Oneida County,4564,3467,0.759640666
16073,Idaho,Owyhee County,11913,4198,0.352388147
16075,Idaho,Payette County,25386,12241,0.482194911
16077,Idaho,Power County,7878,6063,0.769611577
16079,Idaho,Shoshone County,13169,2337,0.177462222
16081,Idaho,Teton County,11630,3486,0.299742046
16083,Idaho,Twin Falls County,90046,42887,0.476278791
16085,Idaho,Valley County,11746,5419,0.461348544
16087,Idaho,Washington County,10500,5036,0.479619048
17001,Illinois,Adams County,65737,49036,0.745942163
17003,Illinois,Alexander County,5240,2259,0.43110687
17005,Illinois,Bond County,16725,7279,0.435216741
17007,Illinois,Boone County,53448,25050,0.468679838
17009,Illinois,Brown County,6244,1699,0.272101217
17011,Illinois,Bureau County,33244,12662,0.38088076
17013,Illinois,Calhoun County,4437,1718,0.387198558
17015,Illinois,Carroll County,15702,7849,0.499872628
17017,Illinois,Cass County,13042,7590,0.581965956
17019,Illinois,Champaign County,205865,81687,0.396798873
17021,Illinois,Christian County,34032,11006,0.323401504
17023,Illinois,Clark County,15455,10657,0.689550307
17025,Illinois,Clay County,13288,9448,0.711017459
17027,Illinois,Clinton County,36899,21384,0.5795279
17029,Illinois,Coles County,46863,22969,0.490130807
17031,Illinois,Cook County,5275541,2862646,0.542626055
17033,Illinois,Crawford County,18679,7603,0.407034638
17035,Illinois,Cumberland County,10450,3098,0.29645933
17039,Illinois,De Witt County,15516,5520,0.355761794
17037,Illinois,DeKalb County,100420,53444,0.53220474
17041,Illinois,Douglas County,19740,12466,0.631509625
17043,Illinois,DuPage County,932877,593048,0.635719393
17045,Illinois,Edgar County,16866,7602,0.450729278
17047,Illinois,Edwards County,6245,3546,0.567814251
17049,Illinois,Effingham County,34668,19947,0.575372101
17051,Illinois,Fayette County,21488,11074,0.515357409
17053,Illinois,Ford County,13534,6292,0.464903207
17055,Illinois,Franklin County,37804,17993,0.475954925
17057,Illinois,Fulton County,33609,10124,0.301228838
17059,Illinois,Gallatin County,4946,2091,0.422765871
17061,Illinois,Greene County,11985,6455,0.538589904
17063,Illinois,Grundy County,52533,18989,0.36146803
17065,Illinois,Hamilton County,7993,4206,0.526210434
17067,Illinois,Hancock County,17620,7722,0.438251986
17069,Illinois,Hardin County,3649,1404,0.384762949
17071,Illinois,Henderson County,6387,1645,0.257554407
17073,Illinois,Henry County,49284,21472,0.435678922
17075,Illinois,Iroquois County,27077,11681,0.431399343
17077,Illinois,Jackson County,52974,24385,0.460320157
17079,Illinois,Jasper County,9287,4072,0.438462367
17081,Illinois,Jefferson County,37113,17377,0.468218683
17083,Illinois,Jersey County,21512,8335,0.387458163
17085,Illinois,Jo Daviess County,22035,9392,0.426230996
17087,Illinois,Johnson County,13308,3771,0.28336339
17089,Illinois,Kane County,516522,291560,0.564467728
17091,Illinois,Kankakee County,107502,51348,0.477646927
17093,Illinois,Kendall County,131869,35826,0.271678711
17095,Illinois,Knox County,49967,12302,0.246202494
17097,Illinois,Lake County,714342,365012,0.510976535
17099,Illinois,LaSalle County,109658,43120,0.393222565
17101,Illinois,Lawrence County,15280,4024,0.263350785
17103,Illinois,Lee County,34145,15651,0.458368722
17105,Illinois,Livingston County,35815,14954,0.417534553
17107,Illinois,Logan County,27987,13248,0.473362633
17115,Illinois,Macon County,103998,48119,0.46269159
17117,Illinois,Macoupin County,44967,18684,0.415504703
17119,Illinois,Madison County,265859,127014,0.477749484
17121,Illinois,Marion County,37729,19354,0.512974105
17123,Illinois,Marshall County,11742,4016,0.342020099
17125,Illinois,Mason County,13086,4121,0.314916705
17127,Illinois,Massac County,14169,9103,0.642458889
17109,Illinois,McDonough County,27238,9157,0.336184742
17111,Illinois,McHenry County,310229,118868,0.383162116
17113,Illinois,McLean County,170954,75652,0.442528399
17129,Illinois,Menard County,12297,5271,0.428641132
17131,Illinois,Mercer County,15699,5742,0.365755781
17133,Illinois,Monroe County,34962,20021,0.572650306
17135,Illinois,Montgomery County,28288,11374,0.40207862
17137,Illinois,Morgan County,32915,13567,0.412182895
17139,Illinois,Moultrie County,14526,10055,0.692207077
17141,Illinois,Ogle County,51788,24543,0.473912876
17143,Illinois,Peoria County,181830,78463,0.431518451
17145,Illinois,Perry County,20945,9217,0.440057293
17147,Illinois,Piatt County,16673,6094,0.36550111
17149,Illinois,Pike County,14739,6362,0.431643938
17151,Illinois,Pope County,3763,1294,0.343874568
17153,Illinois,Pulaski County,5193,3279,0.631426921
17155,Illinois,Putnam County,5637,2262,0.401277275
17157,Illinois,Randolph County,30163,15721,0.521201472
17159,Illinois,Richland County,15813,7188,0.454562702
17161,Illinois,Rock Island County,144672,45719,0.316018303
17165,Illinois,Saline County,23768,13848,0.58263211
17167,Illinois,Sangamon County,196343,92520,0.471216188
17169,Illinois,Schuyler County,6902,2362,0.342219646
17171,Illinois,Scott County,4949,2595,0.524348353
17173,Illinois,Shelby County,20990,9825,0.468080038
17163,Illinois,St. Clair County,257400,119474,0.464156954
17175,Illinois,Stark County,5400,1721,0.318703704
17177,Illinois,Stephenson County,44630,26841,0.601411607
17179,Illinois,Tazewell County,131343,56122,0.427293423
17181,Illinois,Union County,17244,7698,0.446416145
17183,Illinois,Vermilion County,74188,25677,0.346107187
